,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
398,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,none,none,none,none,none,none,none,none,none,none,none
399,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,none,none,none,none,none,none,none,none,none,none,none
400,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none
401,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none
402,Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
403,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
404,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
405,Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
406,Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
407,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose,none,none,none,none,none,none,none,none,none,none,none,none,none
408,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none
409,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze,none,none,none,none,none,none,none,none,none,none,none,none,none
410,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none
411,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
412,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
413,Fungal infection,itching, skin_rash, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
414,Fungal infection,itching, skin_rash, nodal_skin_eruptions,none,none,none,none,none,none,none,none,none,none,none,none,none,none
415,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
416,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
417,Fungal infection,itching, skin_rash, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
418,Fungal infection,itching, skin_rash, nodal_skin_eruptions,none,none,none,none,none,none,none,none,none,none,none,none,none,none
419,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none
420,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none
421,Allergy, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
422,Allergy, continuous_sneezing, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
423,Allergy, continuous_sneezing, shivering, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
424,Allergy, continuous_sneezing, shivering, chills,none,none,none,none,none,none,none,none,none,none,none,none,none,none
425,Allergy, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
426,Allergy, continuous_sneezing, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
427,Allergy, continuous_sneezing, shivering, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
428,Allergy, continuous_sneezing, shivering, chills,none,none,none,none,none,none,none,none,none,none,none,none,none,none
429,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none
430,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none
431,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
432,GERD, stomach_pain, acidity, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
433,GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
434,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
435,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,none,none,none,none,none,none,none,none,none,none,none,none
436,GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
437,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
438,GERD, stomach_pain, acidity, vomiting, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
439,GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
440,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none
441,Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
442,Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
443,Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
444,Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
445,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
446,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
447,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,none,none,none,none,none,none,none,none,none,none,none
448,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none
449,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none
450,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none
451,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
452,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
453,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
454,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,none,none,none,none,none,none,none,none,none,none,none,none,none
455,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
456,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
457,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
458,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
459,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,none,none,none,none,none,none,none,none,none,none,none,none,none
460,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
461,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
462,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
463,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
464,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
465,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
466,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
467,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,none,none,none,none,none,none,none,none,none,none,none,none
468,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none
469,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,none,none,none,none,none,none,none,none,none,none,none
470,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none
471,AIDS, patches_in_throat, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
472,AIDS, muscle_wasting, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
473,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
474,AIDS, muscle_wasting, patches_in_throat, high_fever,none,none,none,none,none,none,none,none,none,none,none,none,none,none
475,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none
476,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none
477,AIDS, patches_in_throat, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
478,AIDS, muscle_wasting, high_fever, extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
479,AIDS, muscle_wasting, patches_in_throat, high_fever,none,none,none,none,none,none,none,none,none,none,none,none,none,none
480,Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none
481,Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none
482,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
483,Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
484,Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
485,Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
486,Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
487,Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
488,Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,none,none,none,none,none,none,none,none
489,Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,none,none,none,none,none,none,none,none
490,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none
491,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none
492,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
493,Gastroenteritis, vomiting, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
494,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
495,Gastroenteritis, vomiting, sunken_eyes, dehydration,none,none,none,none,none,none,none,none,none,none,none,none,none,none
496,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none
497,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
498,Gastroenteritis, vomiting, dehydration, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
499,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
500,Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none
501,Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
502,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
503,Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
504,Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
505,Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
506,Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,none,none,none,none,none,none,none,none,none,none,none,none
507,Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none
508,Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
509,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
510,Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none
511,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
512,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
513,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
514,Hypertension , headache, chest_pain, dizziness, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
515,Hypertension , headache, chest_pain, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
516,Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none
517,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
518,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
519,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
520,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none
521,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
522,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
523,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
524,Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
525,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
526,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
527,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,none,none,none,none,none,none,none,none,none
528,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,none,none,none,none,none,none,none,none,none
529,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,none,none,none,none,none,none,none,none,none
530,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none
531,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none
532,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
533,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
534,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
535,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
536,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,none,none,none,none,none,none,none,none,none,none,none,none,none
537,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none
538,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
539,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
540,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none
541,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none
542,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none,none
543,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none,none
544,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none,none
545,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,none,none,none,none,none,none,none,none,none,none,none,none,none,none
546,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none
547,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none,none
548,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none,none
549,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,none,none,none,none,none,none,none,none,none,none,none,none,none,none
550,Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,none,none,none,none,none,none,none,none,none
551,Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,none,none,none,none,none,none,none,none,none
552,Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,none,none,none,none,none,none,none,none,none,none
553,Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,none,none,none,none,none,none,none,none,none,none
554,Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,none,none,none,none,none,none,none,none,none,none
555,Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,none,none,none,none,none,none,none,none,none,none
556,Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,none,none,none,none,none,none,none,none,none,none
557,Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,none,none,none,none,none,none,none,none,none,none
558,Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,none,none,none,none,none,none,none,none,none,none
559,Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,none,none,none,none,none,none,none,none,none,none
560,Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,none,none,none,none,none,none,none,none,none,none
561,Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,none,none,none,none,none,none,none,none,none
562,Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,none,none,none,none,none,none,none,none,none
563,Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,none,none,none,none,none,none,none,none,none,none
564,Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,none,none,none,none,none,none,none,none,none,none
565,Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,none,none,none,none,none,none,none,none,none,none
566,Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,none,none,none,none,none,none,none,none,none,none
567,Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,none,none,none,none,none,none,none,none,none,none
568,Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,none,none,none,none,none,none,none,none,none,none
569,Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,none,none,none,none,none,none,none,none,none,none
570,Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,none,none,none,none,none,none
571,Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,none,none,none,none,none,none,none
572,Chicken pox,itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,none,none,none,none,none,none,none
573,Chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,none,none,none,none,none,none,none
574,Chicken pox,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,none,none,none,none,none,none,none
575,Chicken pox,itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,none,none,none,none,none,none,none
576,Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,none,none,none,none,none,none,none
577,Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body,none,none,none,none,none,none,none
578,Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body,none,none,none,none,none,none,none
579,Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body,none,none,none,none,none,none,none
580,Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body,none,none,none,none
581,Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body,none,none,none,none
582,Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain,none,none,none,none
583,Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,none,none,none
584,Dengue, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,none,none,none,none
585,Dengue, skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,none,none,none,none
586,Dengue, skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,none,none,none,none
587,Dengue, skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,none,none,none,none
588,Dengue, skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,none,none,none,none
589,Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,none,none,none,none
590,Typhoid, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,none,none,none,none,none,none,none
591,Typhoid, chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,none,none,none,none,none,none,none
592,Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,none,none,none,none,none,none,none
593,Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain,none,none,none,none,none,none,none
594,Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhos), belly_pain,none,none,none,none,none,none,none
595,Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain,none,none,none,none,none,none,none
596,Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos),none,none,none,none,none,none,none
597,Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,none,none,none,none,none,none
598,Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,none,none,none,none,none,none
599,Typhoid, chills, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,none,none,none,none,none,none,none
