Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
28,122,41,125,45,129,28,0,131,131,131,131,131,131,131,131,131,131
29,23,45,108,44,70,31,67,131,131,131,131,131,131,131,131,131,131
29,19,120,45,108,50,59,67,131,131,131,131,131,131,131,131,131,131
31,55,66,46,110,77,131,131,131,131,131,131,131,131,131,131,131,131
31,55,71,56,46,110,98,131,131,131,131,131,131,131,131,131,131,131
31,57,68,54,110,77,131,131,131,131,131,131,131,131,131,131,131,131
32,60,123,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131
32,89,123,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131
32,120,44,69,131,131,131,131,131,131,131,131,131,131,131,131,131,131
32,120,51,111,131,131,131,131,131,131,131,131,131,131,131,131,131,131
32,85,80,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131
33,100,59,0,79,51,131,131,131,131,131,131,131,131,131,131,131,131
33,120,49,59,0,62,98,131,131,131,131,131,131,131,131,131,131,131
33,120,49,59,0,55,118,131,131,131,131,131,131,131,131,131,131,131
34,23,26,45,14,108,62,81,18,40,93,131,131,131,131,131,131,131
35,99,66,96,101,50,131,131,131,131,131,131,131,131,131,131,131,131
35,99,55,98,98,70,131,131,131,131,131,131,131,131,131,131,131,131
35,99,61,97,101,50,131,131,131,131,131,131,131,131,131,131,131,131
36,19,103,125,26,45,14,108,59,63,128,109,62,81,18,11,131,131
37,19,120,41,45,44,70,18,31,116,7,131,131,131,131,131,131,131
38,10,43,24,131,131,131,131,131,131,131,131,131,131,131,131,131,131
38,13,43,24,131,131,131,131,131,131,131,131,131,131,131,131,131,131
38,17,9,34,131,131,131,131,131,131,131,131,131,131,131,131,131,131
38,16,12,41,131,131,131,131,131,131,131,131,131,131,131,131,131,131
38,17,24,24,131,131,131,131,131,131,131,131,131,131,131,131,131,131
39,41,26,73,114,112,83,131,131,131,131,131,131,131,131,131,131,131
39,41,27,16,73,114,104,131,131,131,131,131,131,131,131,131,131,131
40,55,121,28,70,59,0,31,63,128,67,131,131,131,131,131,131,131
