,Disease,Symptom_Count,Symptoms,Disease_Encoded,Symptom_Encoded
545,Tuberculosis,15,"[' chills', ' vomiting', ' fatigue', ' cough', ' high_fever', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 18, 29, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
546,Tuberculosis,15,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 70, 29, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
547,Tuberculosis,15,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' cough', ' breathlessness', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 70, 18, 9, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
548,Tuberculosis,15,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' cough', ' high_fever', ' sweating', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 70, 18, 29, 62, 36, 39, 72, 63, 38, 47, 11, 7]"
549,Tuberculosis,15,"[' chills', ' vomiting', ' fatigue', ' weight_loss', ' cough', ' high_fever', ' breathlessness', ' loss_of_appetite', ' mild_fever', ' yellowing_of_eyes', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' chest_pain', ' blood_in_sputum']",12,"[12, 68, 27, 70, 18, 29, 9, 36, 39, 72, 63, 38, 47, 11, 7]"
550,Common Cold,17,"[' continuous_sneezing', ' chills', ' fatigue', ' cough', ' high_fever', ' headache', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[17, 12, 27, 18, 29, 28, 63, 38, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
551,Common Cold,17,"[' continuous_sneezing', ' chills', ' fatigue', ' cough', ' high_fever', ' headache', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[17, 12, 27, 18, 29, 28, 63, 38, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
552,Common Cold,16,"[' chills', ' fatigue', ' cough', ' high_fever', ' headache', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[12, 27, 18, 29, 28, 63, 38, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
553,Common Cold,16,"[' continuous_sneezing', ' fatigue', ' cough', ' high_fever', ' headache', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[17, 27, 18, 29, 28, 63, 38, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
554,Common Cold,16,"[' continuous_sneezing', ' chills', ' cough', ' high_fever', ' headache', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[17, 12, 18, 29, 28, 63, 38, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
555,Common Cold,16,"[' continuous_sneezing', ' chills', ' fatigue', ' high_fever', ' headache', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[17, 12, 27, 29, 28, 63, 38, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
556,Common Cold,16,"[' continuous_sneezing', ' chills', ' fatigue', ' cough', ' headache', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[17, 12, 27, 18, 28, 63, 38, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
557,Common Cold,16,"[' continuous_sneezing', ' chills', ' fatigue', ' cough', ' high_fever', ' swelled_lymph_nodes', ' malaise', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[17, 12, 27, 18, 29, 63, 38, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
558,Common Cold,16,"[' continuous_sneezing', ' chills', ' fatigue', ' cough', ' high_fever', ' headache', ' malaise', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[17, 12, 27, 18, 29, 28, 38, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
559,Common Cold,16,"[' continuous_sneezing', ' chills', ' fatigue', ' cough', ' high_fever', ' headache', ' swelled_lymph_nodes', ' phlegm', ' throat_irritation', ' redness_of_eyes', ' sinus_pressure', ' runny_nose', ' congestion', ' chest_pain', ' loss_of_smell', ' muscle_pain']",1,"[17, 12, 27, 18, 29, 28, 63, 47, 65, 53, 57, 55, 15, 11, 37, 41]"
560,Pneumonia,10,"[' chills', ' fatigue', ' cough', ' high_fever', ' breathlessness', ' sweating', ' malaise', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[12, 27, 18, 29, 9, 62, 38, 11, 26, 56]"
561,Pneumonia,11,"[' chills', ' fatigue', ' cough', ' high_fever', ' breathlessness', ' sweating', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[12, 27, 18, 29, 9, 62, 38, 47, 11, 26, 56]"
562,Pneumonia,11,"[' chills', ' fatigue', ' cough', ' high_fever', ' breathlessness', ' sweating', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[12, 27, 18, 29, 9, 62, 38, 47, 11, 26, 56]"
563,Pneumonia,10,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' sweating', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[27, 18, 29, 9, 62, 38, 47, 11, 26, 56]"
564,Pneumonia,10,"[' chills', ' cough', ' high_fever', ' breathlessness', ' sweating', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[12, 18, 29, 9, 62, 38, 47, 11, 26, 56]"
565,Pneumonia,10,"[' chills', ' fatigue', ' high_fever', ' breathlessness', ' sweating', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[12, 27, 29, 9, 62, 38, 47, 11, 26, 56]"
566,Pneumonia,10,"[' chills', ' fatigue', ' cough', ' breathlessness', ' sweating', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[12, 27, 18, 9, 62, 38, 47, 11, 26, 56]"
567,Pneumonia,10,"[' chills', ' fatigue', ' cough', ' high_fever', ' sweating', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[12, 27, 18, 29, 62, 38, 47, 11, 26, 56]"
568,Pneumonia,10,"[' chills', ' fatigue', ' cough', ' high_fever', ' breathlessness', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[12, 27, 18, 29, 9, 38, 47, 11, 26, 56]"
569,Pneumonia,10,"[' chills', ' fatigue', ' cough', ' high_fever', ' breathlessness', ' sweating', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum']",11,"[12, 27, 18, 29, 9, 62, 47, 11, 26, 56]"
570,Hypothyroidism,13,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[27, 69, 13, 40, 35, 22, 49, 24, 10, 64, 20, 33, 1]"
571,Hypothyroidism,13,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[27, 69, 13, 40, 35, 22, 49, 24, 10, 64, 20, 33, 1]"
572,Hypothyroidism,12,"[' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[69, 13, 40, 35, 22, 49, 24, 10, 64, 20, 33, 1]"
573,Hypothyroidism,12,"[' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[69, 13, 40, 35, 22, 49, 24, 10, 64, 20, 33, 1]"
574,Hypothyroidism,12,"[' fatigue', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[27, 13, 40, 35, 22, 49, 24, 10, 64, 20, 33, 1]"
575,Hypothyroidism,12,"[' fatigue', ' weight_gain', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[27, 69, 40, 35, 22, 49, 24, 10, 64, 20, 33, 1]"
576,Hypothyroidism,12,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[27, 69, 13, 35, 22, 49, 24, 10, 64, 20, 33, 1]"
577,Hypothyroidism,12,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[27, 69, 13, 40, 22, 49, 24, 10, 64, 20, 33, 1]"
578,Hypothyroidism,12,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[27, 69, 13, 40, 35, 49, 24, 10, 64, 20, 33, 1]"
579,Hypothyroidism,12,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']",9,"[27, 69, 13, 40, 35, 22, 24, 10, 64, 20, 33, 1]"
580,Hyperthyroidism,11,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[27, 40, 70, 54, 62, 21, 26, 25, 42, 33, 1]"
581,Hyperthyroidism,11,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[27, 40, 70, 54, 62, 21, 26, 25, 42, 33, 1]"
582,Hyperthyroidism,10,"[' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[40, 70, 54, 62, 21, 26, 25, 42, 33, 1]"
583,Hyperthyroidism,10,"[' fatigue', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[27, 70, 54, 62, 21, 26, 25, 42, 33, 1]"
584,Hyperthyroidism,10,"[' fatigue', ' mood_swings', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[27, 40, 54, 62, 21, 26, 25, 42, 33, 1]"
585,Hyperthyroidism,10,"[' fatigue', ' mood_swings', ' weight_loss', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[27, 40, 70, 62, 21, 26, 25, 42, 33, 1]"
586,Hyperthyroidism,10,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[27, 40, 70, 54, 21, 26, 25, 42, 33, 1]"
587,Hyperthyroidism,10,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[27, 40, 70, 54, 62, 26, 25, 42, 33, 1]"
588,Hyperthyroidism,10,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[27, 40, 70, 54, 62, 21, 25, 42, 33, 1]"
589,Hyperthyroidism,10,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' muscle_weakness', ' irritability', ' abnormal_menstruation']",7,"[27, 40, 70, 54, 62, 21, 26, 42, 33, 1]"
590,Hypoglycemia,11,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' slurred_speech', ' irritability', ' palpitations']",8,"[68, 27, 4, 62, 28, 43, 8, 25, 59, 33, 46]"
591,Hypoglycemia,12,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']",8,"[68, 27, 4, 62, 28, 43, 8, 25, 23, 59, 33, 46]"
592,Hypoglycemia,12,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']",8,"[68, 27, 4, 62, 28, 43, 8, 25, 23, 59, 33, 46]"
593,Hypoglycemia,11,"[' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']",8,"[27, 4, 62, 28, 43, 8, 25, 23, 59, 33, 46]"
594,Hypoglycemia,11,"[' vomiting', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']",8,"[68, 4, 62, 28, 43, 8, 25, 23, 59, 33, 46]"
595,Hypoglycemia,11,"[' vomiting', ' fatigue', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']",8,"[68, 27, 62, 28, 43, 8, 25, 23, 59, 33, 46]"
596,Hypoglycemia,11,"[' vomiting', ' fatigue', ' anxiety', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']",8,"[68, 27, 4, 28, 43, 8, 25, 23, 59, 33, 46]"
597,Hypoglycemia,11,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']",8,"[68, 27, 4, 62, 43, 8, 25, 23, 59, 33, 46]"
598,Hypoglycemia,11,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']",8,"[68, 27, 4, 62, 28, 8, 25, 23, 59, 33, 46]"
599,Hypoglycemia,11,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']",8,"[68, 27, 4, 62, 28, 43, 25, 23, 59, 33, 46]"
600,Diabetes ,10,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 8, 44, 25, 30, 48]"
601,Diabetes ,10,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 8, 44, 25, 30, 48]"
602,Diabetes ,9,"[' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[70, 54, 35, 32, 8, 44, 25, 30, 48]"
603,Diabetes ,9,"[' fatigue', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 54, 35, 32, 8, 44, 25, 30, 48]"
604,Diabetes ,9,"[' fatigue', ' weight_loss', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 35, 32, 8, 44, 25, 30, 48]"
605,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 32, 8, 44, 25, 30, 48]"
606,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 8, 44, 25, 30, 48]"
607,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 44, 25, 30, 48]"
608,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' excessive_hunger', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 8, 25, 30, 48]"
609,Diabetes ,9,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' increased_appetite', ' polyuria']",3,"[27, 70, 54, 35, 32, 8, 44, 30, 48]"
610,Migraine,9,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 8, 25, 60, 20, 33, 67]"
611,Migraine,8,"[' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[31, 28, 8, 25, 60, 20, 33, 67]"
612,Migraine,8,"[' acidity', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 28, 8, 25, 60, 20, 33, 67]"
613,Migraine,8,"[' acidity', ' indigestion', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 8, 25, 60, 20, 33, 67]"
614,Migraine,8,"[' acidity', ' indigestion', ' headache', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 25, 60, 20, 33, 67]"
615,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 8, 60, 20, 33, 67]"
616,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' depression', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 8, 25, 20, 33, 67]"
617,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' irritability', ' visual_disturbances']",10,"[2, 31, 28, 8, 25, 60, 33, 67]"
618,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' visual_disturbances']",10,"[2, 31, 28, 8, 25, 60, 20, 67]"
619,Migraine,8,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability']",10,"[2, 31, 28, 8, 25, 60, 20, 33]"
620,Chicken pox,11,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 28, 36, 39, 63, 38, 52]"
621,Chicken pox,10,"[' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[58, 27, 35, 29, 28, 36, 39, 63, 38, 52]"
622,Chicken pox,10,"['itching', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 27, 35, 29, 28, 36, 39, 63, 38, 52]"
623,Chicken pox,10,"['itching', ' skin_rash', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 35, 29, 28, 36, 39, 63, 38, 52]"
624,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 29, 28, 36, 39, 63, 38, 52]"
625,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 28, 36, 39, 63, 38, 52]"
626,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 36, 39, 63, 38, 52]"
627,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 28, 39, 63, 38, 52]"
628,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 28, 36, 63, 38, 52]"
629,Chicken pox,10,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' malaise', ' red_spots_over_body']",0,"[74, 58, 27, 35, 29, 28, 36, 39, 38, 52]"
630,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 41, 52]"
631,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' red_spots_over_body']",2,"[58, 12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 52]"
632,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain']",2,"[58, 12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41]"
633,Dengue,14,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
634,Dengue,13,"[' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[12, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
635,Dengue,13,"[' skin_rash', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 34, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
636,Dengue,13,"[' skin_rash', ' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 68, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
637,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 27, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
638,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 68, 29, 28, 43, 36, 45, 5, 38, 41, 52]"
639,Dengue,13,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']",2,"[58, 12, 34, 68, 27, 28, 43, 36, 45, 5, 38, 41, 52]"
